option_set_id,decision,products_mapped,native_products,globo_dependent_products,inactive_products,first_labels
769978,DELETE (no product still needs it),35,0,0,35,Heart 1 | Size of heart | Colour of heart | **INCREDIBLE OFFER** Buy a second decoration for just £6.95
769974,DELETE (no product still needs it),13,0,0,13,Heart 1 | Size of heart | Colour of heart | Name to appear
881165,DELETE (no product still needs it),11,0,0,11,Group
1150941,KEEP for now,11,0,5,6,Group
1092427,KEEP for now,9,0,9,0,Group
772689,KEEP for now,8,0,8,0,Group
1187443,DELETE (no product still needs it),8,0,0,8,Group
1030492,KEEP for now,7,0,7,0,Group
767508,EDIT — remove the native products,4,2,2,0,Group
768208,EDIT — remove the native products,4,2,2,0,Group
769919,DELETE (no product still needs it),4,4,0,0,"Heart 1 | Number of pebble people (max 8 inc pets) | Size of heart | Now, personalise me..."
882600,EDIT — remove the native products,4,3,1,0,Group
882645,DELETE (no product still needs it),4,4,0,0,Group
1155191,KEEP for now,4,0,3,1,Group
1242452,KEEP for now,4,0,4,0,Group
768389,KEEP for now,3,0,3,0,Group
768946,EDIT — remove the native products,3,2,1,0,Group
769976,DELETE (no product still needs it),3,0,0,3,Group
869247,DELETE (no product still needs it),3,1,0,2,Group
880925,DELETE (no product still needs it),3,0,0,3,Bracelet 1 | Charm | Stretch Bracelet Colour | Size
882712,EDIT — remove the native products,3,2,1,0,Group
882722,EDIT — remove the native products,3,1,2,0,Group
1091055,KEEP for now,3,0,1,2,Group
1155333,KEEP for now,3,0,1,2,Group
768233,EDIT — remove the native products,2,1,1,0,Group
882709,EDIT — remove the native products,2,1,1,0,Group
768898,KEEP for now,2,0,2,0,Group
768932,KEEP for now,2,0,1,1,Group
768934,EDIT — remove the native products,2,1,1,0,Group
882690,EDIT — remove the native products,2,1,1,0,Group
768938,KEEP for now,2,0,2,0,Group
769019,KEEP for now,2,0,2,0,"Picture 1 | Frame Colour | Now, personalise me... | Personalisation below angel"
769181,DELETE (no product still needs it),2,2,0,0,Group
769927,DELETE (no product still needs it),2,1,0,1,Heart 1 | Size of heart | Message to appear on left side of heart | Message to appear on right side of heart
769957,DELETE (no product still needs it),2,0,0,2,Heart 1 | Size of heart | Colour of heart | Name to appear after Love You..
769960,DELETE (no product still needs it),2,0,0,2,Coaster 1 | Colour of Coaster | Name to appear after Love You.. | **INCREDIBLE OFFER** Buy a second coaster for just £5.95!
770027,DELETE (no product still needs it),2,2,0,0,Picture 1 | Frame Colour | Wording above pebbles? | Personalisation to appear above pebble characters
770062,DELETE (no product still needs it),2,2,0,0,Pebblescape 1 | Size of Pebblescape | Text to appear at top of picture | Date to appear within love tree
772441,EDIT — remove the native products,2,1,1,0,Pebblescape 1 | Size of Pebblescape | Text to appear at top of picture | Names to appear at bottom of picture
772646,DELETE (no product still needs it),2,0,0,2,Animal 1 | Choose your animal | Number of otters (Get a 2nd one for just £4!) | Number of bears (Get a 2nd one for just £4!)
772661,KEEP for now,2,0,2,0,Decoration 1 | Choose your Decoration shape | Names to appear above 2025 | **INCREDIBLE OFFER** Buy a second one for just £6
772692,KEEP for now,2,0,2,0,Group
872880,KEEP for now,2,0,2,0,Group
883380,KEEP for now,2,0,2,0,Group
1155185,DELETE (no product still needs it),2,1,0,1,Group
1155194,KEEP for now,2,0,1,1,Group
1183653,DELETE (no product still needs it),2,0,0,1,Group
